Age,Gender,Period,Unemployed,State
45 to 54 years,Men,2014-09-01,275000,Hariyana
55 to 64 years,Men,2014-09-01,218000,Hariyana
65 years and over,Men,2014-09-01,79000,Hariyana
16 to 19 years,Women,2014-09-01,83000,Hariyana
20 to 24 years,Women,2014-09-01,116000,Hariyana
25 to 34 years,Women,2014-09-01,350000,Hariyana
35 to 44 years,Women,2014-09-01,294000,Hariyana
45 to 54 years,Women,2014-09-01,297000,Hariyana
55 to 64 years,Women,2014-09-01,191000,Hariyana
65 years and over,Women,2014-09-01,193000,Hariyana
16 to 19 years,Men,2014-10-01,84000,Hariyana
20 to 24 years,Men,2014-10-01,241000,Hariyana
25 to 34 years,Men,2014-10-01,313000,Hariyana
35 to 44 years,Men,2014-10-01,240000,Hariyana
45 to 54 years,Men,2014-10-01,276000,Hariyana
55 to 64 years,Men,2014-10-01,252000,Hariyana
65 years and over,Men,2014-10-01,84000,Hariyana
16 to 19 years,Women,2014-10-01,37000,Hariyana
20 to 24 years,Women,2014-10-01,197000,Hariyana
25 to 34 years,Women,2014-10-01,334000,Hariyana
35 to 44 years,Women,2014-10-01,234000,Hariyana
45 to 54 years,Women,2014-10-01,278000,Hariyana
55 to 64 years,Women,2014-10-01,203000,Hariyana
65 years and over,Women,2014-10-01,188000,Hariyana
16 to 19 years,Men,2014-11-01,75000,Hariyana
20 to 24 years,Men,2014-11-01,226000,Hariyana
25 to 34 years,Men,2014-11-01,282000,Hariyana
35 to 44 years,Men,2014-11-01,257000,Hariyana
45 to 54 years,Men,2014-11-01,292000,Hariyana
55 to 64 years,Men,2014-11-01,242000,Hariyana
65 years and over,Men,2014-11-01,122000,Hariyana
16 to 19 years,Women,2014-11-01,62000,Hariyana
20 to 24 years,Women,2014-11-01,174000,Hariyana
25 to 34 years,Women,2014-11-01,297000,Hariyana
35 to 44 years,Women,2014-11-01,225000,Hariyana
45 to 54 years,Women,2014-11-01,237000,Hariyana
55 to 64 years,Women,2014-11-01,234000,Hariyana
65 years and over,Women,2014-11-01,141000,Hariyana
16 to 19 years,Men,2014-12-01,81000,Hariyana
20 to 24 years,Men,2014-12-01,201000,Hariyana
25 to 34 years,Men,2014-12-01,357000,Hariyana
35 to 44 years,Men,2014-12-01,205000,Hariyana
45 to 54 years,Men,2014-12-01,285000,Hariyana
55 to 64 years,Men,2014-12-01,266000,Hariyana
65 years and over,Men,2014-12-01,110000,Hariyana
16 to 19 years,Women,2014-12-01,60000,Hariyana
20 to 24 years,Women,2014-12-01,182000,Hariyana
25 to 34 years,Women,2014-12-01,284000,Hariyana
35 to 44 years,Women,2014-12-01,226000,Hariyana
45 to 54 years,Women,2014-12-01,214000,Hariyana
55 to 64 years,Women,2014-12-01,173000,Hariyana
65 years and over,Women,2014-12-01,128000,Hariyana
16 to 19 years,Men,2015-01-01,85000,Hariyana
20 to 24 years,Men,2015-01-01,241000,Hariyana
25 to 34 years,Men,2015-01-01,362000,Hariyana
35 to 44 years,Men,2015-01-01,282000,Hariyana
45 to 54 years,Men,2015-01-01,249000,Hariyana
55 to 64 years,Men,2015-01-01,222000,Hariyana
65 years and over,Men,2015-01-01,97000,Hariyana
16 to 19 years,Women,2015-01-01,75000,Hariyana
20 to 24 years,Women,2015-01-01,143000,Hariyana
25 to 34 years,Women,2015-01-01,302000,Hariyana
35 to 44 years,Women,2015-01-01,240000,Hariyana
45 to 54 years,Women,2015-01-01,297000,Hariyana
55 to 64 years,Women,2015-01-01,212000,Hariyana
65 years and over,Women,2015-01-01,157000,Hariyana
16 to 19 years,Men,2015-02-01,93000,Hariyana
20 to 24 years,Men,2015-02-01,255000,Gujrat
25 to 34 years,Men,2015-02-01,319000,Gujrat
35 to 44 years,Men,2015-02-01,270000,Gujrat
45 to 54 years,Men,2015-02-01,272000,Gujrat
55 to 64 years,Men,2015-02-01,229000,Gujrat
65 years and over,Men,2015-02-01,100000,Gujrat
16 to 19 years,Women,2015-02-01,80000,Gujrat
20 to 24 years,Women,2015-02-01,141000,Gujrat
25 to 34 years,Women,2015-02-01,294000,Gujrat
35 to 44 years,Women,2015-02-01,235000,Gujrat
45 to 54 years,Women,2015-02-01,253000,Gujrat
55 to 64 years,Women,2015-02-01,170000,Gujrat
65 years and over,Women,2015-02-01,174000,Gujrat
